Episodio,AgenteID,Passos,Ganhou,Recompensa
228,1,28,1,-7.8
228,2,28,1,72.0
229,1,31,1,-3.1
229,2,31,1,176.6
230,1,25,1,-2.5
230,2,25,1,92.35
231,1,24,1,-2.4
231,2,24,1,92.4
232,1,27,1,-7.7
232,2,27,1,82.1
233,1,28,1,-7.8
233,2,28,1,72.0
234,1,27,1,-7.7
234,2,27,1,87.25
235,1,27,1,-12.6
235,2,27,1,87.15
236,1,23,1,-17.3
236,2,23,1,97.5
237,1,26,1,-17.6
237,2,26,1,82.0
238,1,27,1,-2.7
238,2,27,1,76.9
239,1,28,1,-2.8
239,2,28,1,82.15
240,1,23,1,-12.3
240,2,23,1,97.5
241,1,27,1,-2.7
241,2,27,1,87.25
242,1,29,1,-7.9
242,2,29,1,72.0
243,1,26,1,-2.6
243,2,26,1,87.25
244,1,27,1,-7.7
244,2,27,1,82.2
245,1,24,1,-2.4
245,2,24,1,97.5
246,1,31,1,-8.1
246,2,31,1,66.6
247,1,26,1,-2.6
247,2,26,1,192.0
248,1,29,1,-7.9
248,2,29,1,71.95
249,1,30,1,-2.9
249,2,30,1,181.75
250,1,24,1,-12.4
250,2,24,1,92.4
251,1,24,1,-2.3
251,2,24,1,92.4
252,1,24,1,-2.4
252,2,24,1,92.4
253,1,25,1,-7.5
253,2,25,1,87.3
254,1,26,1,-2.6
254,2,26,1,97.4
255,1,32,1,-8.1
255,2,32,1,286.4
256,1,23,1,-12.3
256,2,23,1,97.5
257,1,26,1,-7.6
257,2,26,1,197.0
258,1,25,1,-2.5
258,2,25,1,92.4
259,1,25,1,-2.5
259,2,25,1,92.15
260,1,28,1,-2.8
260,2,28,1,181.8
261,1,24,1,-12.4
261,2,24,1,92.2
262,1,23,1,-12.3
262,2,23,1,97.5
263,1,25,1,-2.4
263,2,25,1,97.45
264,1,27,1,-2.7
264,2,27,1,77.1
265,1,24,1,-2.4
265,2,24,1,92.4
266,1,25,1,-22.5
266,2,25,1,92.3
267,1,29,1,-12.9
267,2,29,1,186.75
268,1,25,1,-7.5
268,2,25,1,92.4
269,1,25,1,-7.5
269,2,25,1,92.3
270,1,26,1,-7.6
270,2,26,1,82.2
271,1,25,1,-2.5
271,2,25,1,87.3
272,1,24,1,-2.4
272,2,24,1,92.4
273,1,25,1,-2.5
273,2,25,1,87.1
274,1,28,1,-7.8
274,2,28,1,77.1
275,1,24,1,-12.4
275,2,24,1,92.4
276,1,26,1,-2.5
276,2,26,1,87.2
277,1,24,1,-7.4
277,2,24,1,97.45
278,1,27,1,-12.7
278,2,27,1,191.95
279,1,23,1,-2.3
279,2,23,1,97.5
280,1,28,1,-7.8
280,2,28,1,186.8
281,1,26,1,-7.6
281,2,26,1,92.3
282,1,27,1,-7.7
282,2,27,1,77.1
283,1,25,1,-7.5
283,2,25,1,92.15
284,1,27,1,-7.6
284,2,27,1,82.15
285,1,23,1,-7.3
285,2,23,1,97.5
286,1,27,1,-7.7
286,2,27,1,82.2
287,1,26,1,-2.5
287,2,26,1,82.2
288,1,23,1,-7.3
288,2,23,1,97.5
289,1,24,1,-2.4
289,2,24,1,92.4
290,1,25,1,-7.5
290,2,25,1,92.3
291,1,24,1,-7.4
291,2,24,1,97.4
292,1,27,1,-2.7
292,2,27,1,81.95
293,1,24,1,-7.4
293,2,24,1,97.25
294,1,25,1,-7.4
294,2,25,1,197.1
295,1,27,1,-2.7
295,2,27,1,92.2
296,1,25,1,-2.5
296,2,25,1,97.2
297,1,30,1,-3.0
297,2,30,1,171.6
298,1,25,1,-12.7
298,2,25,1,87.3
299,1,24,1,-22.4
299,2,24,1,92.4
300,1,28,1,-12.8
300,2,28,1,77.0
301,1,27,1,-7.7
301,2,27,1,186.9
302,1,28,1,-7.8
302,2,28,1,77.0
303,1,27,1,-12.6
303,2,27,1,186.9
304,1,25,1,-2.5
304,2,25,1,87.3
305,1,23,1,-2.2
305,2,23,1,97.5
306,1,23,1,-7.2
306,2,23,1,97.5
307,1,25,1,-2.5
307,2,25,1,97.35
308,1,23,1,-7.3
308,2,23,1,97.5
309,1,26,1,-2.6
309,2,26,1,92.3
310,1,23,1,-2.3
310,2,23,1,97.5
311,1,24,1,-2.4
311,2,24,1,92.2
312,1,24,1,-2.4
312,2,24,1,92.4
313,1,28,1,-2.7
313,2,28,1,181.8
314,1,26,1,-2.6
314,2,26,1,87.2
315,1,27,1,-7.6
315,2,27,1,82.2
316,1,28,1,-12.8
316,2,28,1,186.85
317,1,23,1,-2.3
317,2,23,1,97.5
318,1,25,1,-2.5
318,2,25,1,92.15
319,1,26,1,-7.6
319,2,26,1,87.25
320,1,27,1,-2.7
320,2,27,1,191.95
321,1,25,1,-2.5
321,2,25,1,87.1
322,1,23,1,-2.3
322,2,23,1,97.5
323,1,25,1,-2.5
323,2,25,1,92.15
324,1,28,1,-7.8
324,2,28,1,296.45
325,1,24,1,-7.4
325,2,24,1,92.4
326,1,23,1,-17.3
326,2,23,1,97.5
327,1,26,1,-7.6
327,2,26,1,82.2
328,1,24,1,-2.4
328,2,24,1,92.4
329,1,25,1,-7.5
329,2,25,1,92.3
330,1,26,1,-2.5
330,2,26,1,87.2
331,1,24,1,-2.4
331,2,24,1,97.4
332,1,26,1,-7.6
332,2,26,1,82.2
333,1,23,1,-2.3
333,2,23,1,97.5
334,1,25,1,-7.4
334,2,25,1,92.4
335,1,24,1,-7.4
335,2,24,1,92.4
336,1,29,1,-7.8
336,2,29,1,71.9
337,1,26,1,-2.5
337,2,26,1,87.25
338,1,25,1,-2.5
338,2,25,1,87.3
339,1,25,1,-17.5
339,2,25,1,87.3
340,1,25,1,-2.4
